trace_name,distance_km,source_depth_km,pick_err_p,pick_err_s,init_tt,refined_tt,rho_mean,rho_peak,rho_p_lag,rho_s_lag,env_p_lag,env_s_lag,p_prob_lag,s_prob_lag,gamma_p0,omega_p0,gamma_s0,omega_s0,kernel_vp,kernel_vs,vp_mean,vs_mean,vpvs_mean,vp_std_layers,vs_std_layers
109C.TA_20140115093533_EV,142.7100067138672,10.710000038146973,0.0,0.4499999999999993,20.33162498474121,1.6880292892456055,68.81822967529297,96.62129974365234,0.158917331695557,-1.5445880889892578,3.613234901428223,2.3602943420410156,-2.018805122375488,-1.4694938659667969,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.709423065185547,4.182633399963379,3.4069747924804688,5.300835609436035,3.685319423675537
109C.TA_20140401183059_EV,136.7899932861328,15.600000381469727,0.07500000000000018,0.07499999999999929,29.328516006469727,0.19962401688098907,67.48046112060547,104.04026794433594,2.5607004165649414,-2.224374389648439,-1.9449310302734375,3.25747718811035,-1.5694618225097656,-1.923999404907228,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,8.585128784179688,4.657512664794922,3.247404098510742,5.067286968231201,4.0392866134643555
109C.TA_20140705165948_EV,155.1199951171875,14.800000190734863,0.0,0.07499999999999929,70.01239013671875,9.225305557250977,68.05645751953125,99.31352996826172,-2.2415523529052734,-2.2189304351806634,1.5882349014282227,-0.26649017333984304,-2.1664581298828125,-0.1913959503173821,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,9.350221633911133,4.973708152770996,3.9007389545440674,5.607786655426025,4.546855926513672
109C.TA_20140709214817_EV,111.8499984741211,15.350000381469727,0.0,0.0,9.184799194335938,0.006674403324723244,66.80713653564453,102.9781723022461,-1.345400714874268,-2.2301010131835923,-1.9461516380310062,3.1766582489013686,-1.1952127456665043,-2.2301010131835923,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,7.796098232269287,4.337689399719238,2.812034845352173,4.452266216278076,3.498993396759033
109C.TA_20140818045614_EV,162.08999633789062,11.210000038146973,0.07500000000000018,0.4499999999999993,5.28599214553833,5.284915447235107,66.57206726074219,100.12600708007812,-1.1176782608032223,-1.9949630737304673,-0.2916460990905758,2.210294342041017,-1.8686171531677243,-2.2202438354492173,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.1481733322143555,2.6758968830108643,1.925562858581543,1.4997241497039795,0.7816785573959351
109C.TA_20150125181023_EV,64.04000091552734,17.8799991607666,0.0,0.14999999999999858,0.5502294301986694,0.37792569398880005,67.05037689208984,86.74402618408203,-1.0463391304016114,-2.012891006469726,-2.2478410959243775,-2.087985229492187,-0.9712453842163087,-1.8627035140991204,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.02849817276001,2.6005053520202637,1.9398574829101562,1.5200281143188477,0.8003847002983093
109C.TA_20150207140607_EV,89.12999725341797,18.84000015258789,0.07499999999999973,0.0,2.2833733558654785,2.105363607406616,65.53929138183594,114.37410736083984,-0.8210576534271241,-2.009512329101563,-0.6708699226379395,2.2708374023437496,-0.9712453842163087,-2.084606552124024,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,4.829138278961182,2.5151679515838623,1.9401108026504517,1.5502644777297974,0.8509387373924255
112A.TA_20080224070049_EV,68.5199966430664,13.289999961853027,0.15000000000000036,0.14999999999999858,49.203460693359375,0.06178417429327965,69.09102630615234,110.74229431152344,0.4606071472167965,1.4479026794433594,-2.242772483825684,-1.0301942825317383,-0.9661764144897464,1.2977161407470703,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,5.590558052062988,3.493157148361206,1.889357328414917,3.452316999435425,2.3663296699523926
112A.TA_20080602045935_EV,107.80000305175781,10.789999961853027,0.07499999999999929,0.07499999999999929,45.105316162109375,4.218229293823242,69.16424560546875,92.66573333740234,3.615769386291504,0.32844085693359304,3.3904876708984375,-0.8730609893798835,3.690863609313965,-0.7228725433349616,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,8.617142677307129,4.1209330558776855,2.7412667274475098,4.792356967926025,3.145575761795044
119A.TA_20070915052634_EV,101.37999725341797,10.0,0.07500000000000018,2.3999999999999986,51.2841911315918,1.8321826457977295,67.45565795898438,94.16725158691406,-0.4418335914611813,-1.8520030975341797,-1.4180541992187496,2.2781600952148438,-0.7422090530395504,-1.8520030975341797,3.3683700561523438,2.1974523067474365,0.09539812803268433,2.1004605293273926,8.001336097717285,4.51204776763916,8.803193092346191,3.999924898147583,3.042555570602417,4.805173873901367,3.2202110290527344
